slang,spanish
whats sup,hola
homie,amigo
ditch,cancelar planes
chill,cálmese
down to earth,humilde y genuino
goat,más grande de todos los tiempos
slay,haciendo algo bien
stan,fanáticos acérrimos de las celebridades
tea,noticias de última hora
wack,aburrido
what's good,como estas
wheels,coche
amped,super emocionado
babe,atractivo
busted,fue atrapado
had a blast,tuve un buen tiempo
have a crush ,atraído a
to dump,romper
hooked,acreditado
sick,asombroso
ripped,musculoso
rip off,demasiado caro
